bmrb_id,query_orf_subid,pdb_id,subject_orf_subid,match_size,number_gaps,number_identities,query_orf_match_start
39,metallothionein-2,1m0g,A,29,0,17,32
39,metallothionein-2,1m0g,A,30,3,12,5
39,metallothionein-2,1m0j,A,29,1,15,2
39,metallothionein-2,1aqs,,46,6,19,19
39,metallothionein-2,1fmy,A,42,13,16,19
39,metallothionein-2,1aqr,,42,13,16,19
39,metallothionein-2,1aqq,,42,13,16,19
39,metallothionein-2,1aoo,,42,13,16,19
39,metallothionein-2,1j5l,A,27,5,13,15
39,metallothionein-2,1j5l,A,27,7,12,41
39,metallothionein-2,2bbi,,49,6,14,13
39,metallothionein-2,1bbi,,49,6,14,13
39,metallothionein-2,1vfi,A,72,13,18,2
39,metallothionein-2,1vfi,A,51,5,14,15
39,metallothionein-2,1t2y,A,21,0,8,4
39,metallothionein-2,1qjl,A,28,2,11,9
39,metallothionein-2,1qjl,A,31,4,13,29
39,metallothionein-2,1dmd,,27,7,11,41
39,metallothionein-2,1dmd,,34,13,14,5
39,metallothionein-2,1dmc,,27,7,11,41
39,metallothionein-2,1dmc,,34,13,14,5
39,metallothionein-2,1dl0,A,34,5,12,27
39,metallothionein-2,1hx2,A,37,1,10,24
40,myoglobin,1myf,,153,0,153,1
41,neutrophil_NP-5,1tv0,A,33,3,14,1
42,ovomucoid_third_domain,1tus,,56,0,56,1
42,ovomucoid_third_domain,1tur,,56,0,56,1
42,ovomucoid_third_domain,1omu,,56,0,56,1
42,ovomucoid_third_domain,1omt,,56,0,56,1
42,ovomucoid_third_domain,1m8c,A,56,0,55,1
42,ovomucoid_third_domain,1m8b,A,56,0,55,1
42,ovomucoid_third_domain,1iy5,A,54,0,53,3
42,ovomucoid_third_domain,1iy6,A,54,0,51,3
42,ovomucoid_third_domain,2bus,,53,2,30,6
42,ovomucoid_third_domain,1bus,,53,2,30,6
42,ovomucoid_third_domain,1y1b,A,41,0,19,16
42,ovomucoid_third_domain,1y1c,A,41,0,19,16
42,ovomucoid_third_domain,1pce,,43,0,15,14
42,ovomucoid_third_domain,1uvg,A,41,0,13,16
42,ovomucoid_third_domain,1uvf,A,41,0,13,16
42,ovomucoid_third_domain,1h0z,A,43,6,16,8
42,ovomucoid_third_domain,1kma,A,41,0,16,16
44,ovomucoid_third_domain,1tus,,18,0,18,1
44,ovomucoid_third_domain,1tur,,18,0,18,1
44,ovomucoid_third_domain,1omu,,18,0,18,1
44,ovomucoid_third_domain,1omt,,18,0,18,1
44,ovomucoid_third_domain,1m8c,A,18,0,17,1
44,ovomucoid_third_domain,1m8b,A,18,0,17,1
44,ovomucoid_third_domain,1iy5,A,16,0,15,3
44,ovomucoid_third_domain,1iy6,A,16,0,14,3
45,basic_pancreatic_trypsin_inhibitor,1pit,,58,0,58,1
45,basic_pancreatic_trypsin_inhibitor,1oa6,5,58,0,58,1
45,basic_pancreatic_trypsin_inhibitor,1oa5,5,58,0,58,1
45,basic_pancreatic_trypsin_inhibitor,1jv9,A,58,0,57,1
45,basic_pancreatic_trypsin_inhibitor,1jv8,A,58,0,57,1
45,basic_pancreatic_trypsin_inhibitor,1ld5,A,58,0,55,1
45,basic_pancreatic_trypsin_inhibitor,1uua,A,56,0,56,3
45,basic_pancreatic_trypsin_inhibitor,1uub,A,56,0,53,3
45,basic_pancreatic_trypsin_inhibitor,1ld6,A,58,0,48,1
45,basic_pancreatic_trypsin_inhibitor,1jc6,A,55,0,27,1
45,basic_pancreatic_trypsin_inhibitor,1adz,,55,0,24,1
45,basic_pancreatic_trypsin_inhibitor,1irh,A,54,0,23,2
45,basic_pancreatic_trypsin_inhibitor,1dtk,,54,0,24,4
45,basic_pancreatic_trypsin_inhibitor,1shp,,51,0,19,5
45,basic_pancreatic_trypsin_inhibitor,1k09,A,24,0,21,15
45,basic_pancreatic_trypsin_inhibitor,1k09,B,24,0,21,15
45,basic_pancreatic_trypsin_inhibitor,1den,,51,0,19,5
45,basic_pancreatic_trypsin_inhibitor,1dem,,51,0,19,5
45,basic_pancreatic_trypsin_inhibitor,1kun,,53,0,18,3
45,basic_pancreatic_trypsin_inhibitor,1bf0,,56,0,17,2
45,basic_pancreatic_trypsin_inhibitor,2ca7,A,55,0,20,1
45,basic_pancreatic_trypsin_inhibitor,1yl2,A,55,0,20,1
46,basic_pancreatic_trypsin_inhibitor,1pit,,58,0,58,1
46,basic_pancreatic_trypsin_inhibitor,1oa6,5,58,0,58,1
46,basic_pancreatic_trypsin_inhibitor,1oa5,5,58,0,58,1
46,basic_pancreatic_trypsin_inhibitor,1jv9,A,58,0,57,1
46,basic_pancreatic_trypsin_inhibitor,1jv8,A,58,0,57,1
46,basic_pancreatic_trypsin_inhibitor,1ld5,A,58,0,55,1
46,basic_pancreatic_trypsin_inhibitor,1uua,A,56,0,56,3
46,basic_pancreatic_trypsin_inhibitor,1uub,A,56,0,53,3
46,basic_pancreatic_trypsin_inhibitor,1ld6,A,58,0,48,1
46,basic_pancreatic_trypsin_inhibitor,1jc6,A,55,0,27,1
46,basic_pancreatic_trypsin_inhibitor,1adz,,55,0,24,1
46,basic_pancreatic_trypsin_inhibitor,1irh,A,54,0,23,2
46,basic_pancreatic_trypsin_inhibitor,1dtk,,54,0,24,4
46,basic_pancreatic_trypsin_inhibitor,1shp,,51,0,19,5
46,basic_pancreatic_trypsin_inhibitor,1k09,A,24,0,21,15
46,basic_pancreatic_trypsin_inhibitor,1k09,B,24,0,21,15
46,basic_pancreatic_trypsin_inhibitor,1den,,51,0,19,5
46,basic_pancreatic_trypsin_inhibitor,1dem,,51,0,19,5
46,basic_pancreatic_trypsin_inhibitor,1kun,,53,0,18,3
46,basic_pancreatic_trypsin_inhibitor,1bf0,,56,0,17,2
46,basic_pancreatic_trypsin_inhibitor,2ca7,A,55,0,20,1
46,basic_pancreatic_trypsin_inhibitor,1yl2,A,55,0,20,1
48,basic_pancreatic_trypsin_inhibitor,1pit,,58,0,58,1
48,basic_pancreatic_trypsin_inhibitor,1oa6,5,58,0,58,1
48,basic_pancreatic_trypsin_inhibitor,1oa5,5,58,0,58,1
48,basic_pancreatic_trypsin_inhibitor,1jv9,A,58,0,57,1
48,basic_pancreatic_trypsin_inhibitor,1jv8,A,58,0,57,1
48,basic_pancreatic_trypsin_inhibitor,1ld5,A,58,0,55,1
48,basic_pancreatic_trypsin_inhibitor,1uua,A,56,0,56,3
48,basic_pancreatic_trypsin_inhibitor,1uub,A,56,0,53,3
48,basic_pancreatic_trypsin_inhibitor,1ld6,A,58,0,48,1
48,basic_pancreatic_trypsin_inhibitor,1jc6,A,55,0,27,1
48,basic_pancreatic_trypsin_inhibitor,1adz,,55,0,24,1
48,basic_pancreatic_trypsin_inhibitor,1irh,A,54,0,23,2
48,basic_pancreatic_trypsin_inhibitor,1dtk,,54,0,24,4
48,basic_pancreatic_trypsin_inhibitor,1shp,,51,0,19,5
48,basic_pancreatic_trypsin_inhibitor,1k09,A,24,0,21,15
48,basic_pancreatic_trypsin_inhibitor,1k09,B,24,0,21,15
48,basic_pancreatic_trypsin_inhibitor,1den,,51,0,19,5
48,basic_pancreatic_trypsin_inhibitor,1dem,,51,0,19,5
48,basic_pancreatic_trypsin_inhibitor,1kun,,53,0,18,3
48,basic_pancreatic_trypsin_inhibitor,1bf0,,56,0,17,2
48,basic_pancreatic_trypsin_inhibitor,2ca7,A,55,0,20,1
48,basic_pancreatic_trypsin_inhibitor,1yl2,A,55,0,20,1
49,basic_pancreatic_trypsin_inhibitor,1pit,,58,0,58,1
49,basic_pancreatic_trypsin_inhibitor,1oa6,5,58,0,58,1
49,basic_pancreatic_trypsin_inhibitor,1oa5,5,58,0,58,1
49,basic_pancreatic_trypsin_inhibitor,1jv9,A,58,0,57,1
49,basic_pancreatic_trypsin_inhibitor,1jv8,A,58,0,57,1
49,basic_pancreatic_trypsin_inhibitor,1ld5,A,58,0,55,1
49,basic_pancreatic_trypsin_inhibitor,1uua,A,56,0,56,3
49,basic_pancreatic_trypsin_inhibitor,1uub,A,56,0,53,3
49,basic_pancreatic_trypsin_inhibitor,1ld6,A,58,0,48,1
49,basic_pancreatic_trypsin_inhibitor,1jc6,A,55,0,27,1
49,basic_pancreatic_trypsin_inhibitor,1adz,,55,0,24,1
49,basic_pancreatic_trypsin_inhibitor,1irh,A,54,0,23,2
49,basic_pancreatic_trypsin_inhibitor,1dtk,,54,0,24,4
49,basic_pancreatic_trypsin_inhibitor,1shp,,51,0,19,5
49,basic_pancreatic_trypsin_inhibitor,1k09,A,24,0,21,15
49,basic_pancreatic_trypsin_inhibitor,1k09,B,24,0,21,15
49,basic_pancreatic_trypsin_inhibitor,1den,,51,0,19,5
49,basic_pancreatic_trypsin_inhibitor,1dem,,51,0,19,5
49,basic_pancreatic_trypsin_inhibitor,1kun,,53,0,18,3
49,basic_pancreatic_trypsin_inhibitor,1bf0,,56,0,17,2
49,basic_pancreatic_trypsin_inhibitor,2ca7,A,55,0,20,1
49,basic_pancreatic_trypsin_inhibitor,1yl2,A,55,0,20,1
53,proteinase_inhibitor_IIA,2bus,,56,0,56,2
53,proteinase_inhibitor_IIA,1bus,,56,0,56,2
53,proteinase_inhibitor_IIA,1iy5,A,53,2,30,5
53,proteinase_inhibitor_IIA,1tus,,53,2,30,5
53,proteinase_inhibitor_IIA,1tur,,53,2,30,5
53,proteinase_inhibitor_IIA,1omu,,53,2,30,5
53,proteinase_inhibitor_IIA,1omt,,53,2,30,5
53,proteinase_inhibitor_IIA,1m8c,A,53,2,30,5
53,proteinase_inhibitor_IIA,1m8b,A,53,2,30,5
53,proteinase_inhibitor_IIA,1iy6,A,53,2,30,5
53,proteinase_inhibitor_IIA,1y1b,A,46,0,20,12
53,proteinase_inhibitor_IIA,1y1c,A,46,0,20,12
53,proteinase_inhibitor_IIA,1uvg,A,41,0,13,17
53,proteinase_inhibitor_IIA,1uvf,A,41,0,13,17
53,proteinase_inhibitor_IIA,1h0z,A,46,0,14,11
53,proteinase_inhibitor_IIA,1pce,,41,0,14,17
53,proteinase_inhibitor_IIA,1uuc,A,46,4,15,7
53,proteinase_inhibitor_IIA,1kma,A,41,0,14,17
53,proteinase_inhibitor_IIA,1hdl,A,46,4,14,7
55,alpha_1-purothionin,1ed0,A,46,1,25,1
55,alpha_1-purothionin,1jmn,A,46,1,23,1
55,alpha_1-purothionin,1orl,A,46,1,24,1
55,alpha_1-purothionin,1jmp,A,46,1,23,1
55,alpha_1-purothionin,1nbl,A,45,1,22,1
55,alpha_1-purothionin,1ccn,,40,1,16,2
55,alpha_1-purothionin,1ccm,,40,1,16,2
55,alpha_1-purothionin,1cxr,A,40,1,15,2
60,tendamistat,4ait,,74,0,74,1
60,tendamistat,3ait,,74,0,74,1
60,tendamistat,2ait,,74,0,74,1
62,thioredoxin,1xob,A,108,0,107,1
62,thioredoxin,1xoa,,108,0,107,1
62,thioredoxin,1m7t,A,88,1,56,20
62,thioredoxin,1gl8,A,101,0,50,7
62,thioredoxin,1rqm,A,94,1,49,7
62,thioredoxin,1dby,A,101,0,48,7
62,thioredoxin,1quw,A,94,1,47,7
62,thioredoxin,1x5d,A,103,4,37,1
62,thioredoxin,1tof,,86,1,35,23
62,thioredoxin,1wmj,A,88,4,34,10
62,thioredoxin,1ti3,A,75,1,29,23
62,thioredoxin,1mek,,92,4,31,2
62,thioredoxin,1xfl,A,86,2,30,23
62,thioredoxin,1trw,,88,6,31,20
62,thioredoxin,1trv,,88,6,31,20
62,thioredoxin,1tru,,88,6,31,20
62,thioredoxin,1trs,,88,6,31,20
62,thioredoxin,4trx,,88,6,31,20
62,thioredoxin,3trx,,88,6,31,20
62,thioredoxin,1mdk,A,88,6,30,20
62,thioredoxin,1mdj,A,88,6,30,20
62,thioredoxin,1mdi,A,88,6,30,20
62,thioredoxin,1cqh,A,88,6,30,20
62,thioredoxin,1cqg,A,88,6,30,20
62,thioredoxin,1xtx,A,103,10,29,11
62,thioredoxin,1x5c,A,59,0,18,23
62,thioredoxin,1fo5,A,81,4,25,27
62,thioredoxin,1x5e,A,67,1,18,20
62,thioredoxin,1nho,A,78,4,24,27
62,thioredoxin,2b5y,A,71,5,20,24
62,thioredoxin,2b5x,A,71,5,20,24
62,thioredoxin,1okd,A,23,0,10,27
63,toxin_RP_II,2sh1,,48,0,32,1
63,toxin_RP_II,1shi,,48,0,32,1
63,toxin_RP_II,1sh1,,48,0,32,1
63,toxin_RP_II,1ahl,,47,2,19,2
63,toxin_RP_II,1apf,,46,2,18,3
63,toxin_RP_II,1atx,,46,1,15,1
64,trypsin_inhibitor_B-III,1mvz,A,49,2,26,2
64,trypsin_inhibitor_B-III,1mvz,A,20,0,14,29
64,trypsin_inhibitor_B-III,1mvz,A,30,2,14,3
64,trypsin_inhibitor_B-III,2bbi,,50,3,21,2
64,trypsin_inhibitor_B-III,2bbi,,31,1,16,31
64,trypsin_inhibitor_B-III,2bbi,,29,2,11,3
64,trypsin_inhibitor_B-III,1bbi,,50,3,21,2
64,trypsin_inhibitor_B-III,1bbi,,31,1,16,31
64,trypsin_inhibitor_B-III,1bbi,,29,2,11,3
64,trypsin_inhibitor_B-III,2bi6,H,19,0,8,16
64,trypsin_inhibitor_B-III,1bi6,H,19,0,8,16
64,trypsin_inhibitor_B-III,1eit,,35,8,13,17
64,trypsin_inhibitor_B-III,1eit,,19,2,9,2
65,trypsin_inhibitor_E,1dtk,,54,0,35,6
65,trypsin_inhibitor_E,1jc6,A,53,0,32,5
65,trypsin_inhibitor_E,1bf0,,54,0,28,6
65,trypsin_inhibitor_E,1den,,55,0,29,4
65,trypsin_inhibitor_E,1dem,,55,0,29,4
65,trypsin_inhibitor_E,1adz,,52,0,24,6
65,trypsin_inhibitor_E,1uub,A,54,0,24,6
65,trypsin_inhibitor_E,1uua,A,54,0,25,6
65,trypsin_inhibitor_E,1pit,,54,0,25,6
65,trypsin_inhibitor_E,1oa6,5,54,0,25,6
65,trypsin_inhibitor_E,1oa5,5,54,0,25,6
65,trypsin_inhibitor_E,1shp,,53,0,23,5
65,trypsin_inhibitor_E,1irh,A,53,0,23,5
65,trypsin_inhibitor_E,1jv9,A,54,0,24,6
65,trypsin_inhibitor_E,1jv8,A,54,0,24,6
65,trypsin_inhibitor_E,1ld5,A,54,0,23,6
65,trypsin_inhibitor_E,1kun,,51,0,22,7
65,trypsin_inhibitor_E,1ld6,A,54,0,21,6
65,trypsin_inhibitor_E,2ca7,A,54,0,20,5
65,trypsin_inhibitor_E,1yl2,A,54,0,20,5
65,trypsin_inhibitor_E,1k09,B,24,0,12,17
66,trypsin_inhibitor_homologue_K,1dtk,,57,0,57,1
66,trypsin_inhibitor_homologue_K,1bf0,,54,0,37,4
66,trypsin_inhibitor_homologue_K,1den,,54,0,35,3
66,trypsin_inhibitor_homologue_K,1dem,,54,0,35,3
66,trypsin_inhibitor_homologue_K,1jc6,A,52,0,28,4
66,trypsin_inhibitor_homologue_K,1shp,,51,0,23,5
66,trypsin_inhibitor_homologue_K,1uua,A,54,0,24,4
66,trypsin_inhibitor_homologue_K,1pit,,54,0,24,4
66,trypsin_inhibitor_homologue_K,1oa6,5,54,0,24,4
66,trypsin_inhibitor_homologue_K,1oa5,5,54,0,24,4
66,trypsin_inhibitor_homologue_K,1uub,A,54,0,23,4
66,trypsin_inhibitor_homologue_K,1kun,,51,0,23,5
66,trypsin_inhibitor_homologue_K,1irh,A,52,0,23,4
66,trypsin_inhibitor_homologue_K,1ld5,A,54,0,23,4
66,trypsin_inhibitor_homologue_K,1jv9,A,54,0,23,4
66,trypsin_inhibitor_homologue_K,1jv8,A,54,0,23,4
66,trypsin_inhibitor_homologue_K,2ca7,A,52,0,23,5
66,trypsin_inhibitor_homologue_K,1yl2,A,52,0,23,5
66,trypsin_inhibitor_homologue_K,1adz,,52,0,22,4
66,trypsin_inhibitor_homologue_K,1ld6,A,54,0,20,4
68,ubiquitin,2bgf,B,76,0,76,1
68,ubiquitin,2bgf,A,76,0,76,1
68,ubiquitin,1yx6,B,76,0,76,1
68,ubiquitin,1yx5,B,76,0,76,1
68,ubiquitin,1xqq,A,76,0,76,1
68,ubiquitin,1v81,A,76,0,76,1
68,ubiquitin,1v80,A,76,0,76,1
68,ubiquitin,1q5w,B,76,0,76,1
68,ubiquitin,1g6j,A,76,0,76,1
68,ubiquitin,1fxt,B,76,0,76,1
68,ubiquitin,1d3z,A,76,0,76,1
68,ubiquitin,1wr1,A,76,0,73,1
68,ubiquitin,1q0w,B,76,0,73,1
68,ubiquitin,1otr,B,76,0,73,1
68,ubiquitin,1ud7,A,76,0,69,1
68,ubiquitin,1c3t,A,76,0,68,1
68,ubiquitin,1gjz,B,51,0,51,1
68,ubiquitin,1gjz,A,51,0,51,1
68,ubiquitin,1uel,A,68,3,24,1
68,ubiquitin,1p1a,A,68,3,24,1
68,ubiquitin,1mg8,A,74,0,24,1
68,ubiquitin,1wh3,A,69,0,26,1
68,ubiquitin,1iyf,A,72,0,23,1
68,ubiquitin,1wy8,A,78,2,30,1
68,ubiquitin,1wx9,A,76,1,26,1
68,ubiquitin,1qze,A,78,4,27,3
68,ubiquitin,1oqy,A,78,4,27,3
68,ubiquitin,1zkh,A,68,0,20,8
68,ubiquitin,1p9d,U,66,3,24,3
68,ubiquitin,1p98,A,66,3,24,3
68,ubiquitin,1we7,A,69,0,20,8
68,ubiquitin,1ttn,A,70,0,20,2
68,ubiquitin,1wx7,A,72,1,25,1
68,ubiquitin,1j8c,A,72,1,24,1
68,ubiquitin,1x1m,A,45,1,17,33
68,ubiquitin,1we6,A,57,0,19,20
68,ubiquitin,2asq,A,64,0,13,13
68,ubiquitin,1a5r,,64,0,13,13
68,ubiquitin,1wgd,A,41,2,17,38
68,ubiquitin,1wx8,A,38,0,17,39
68,ubiquitin,1m94,A,69,0,16,1
